,Is safe from accidents,Has comftarble seating,Gives me the ability to work read and sleep,Is relaxing,Is mostly on time,Can interact with tohers,Is clean,Is good for the environment,Is a good value for the money,Is convienent to use,Overall Rating
76,5,10,3,9,4,1,5,4,1,8,8
77,7,6,7,2,8,1,1,9,9,4,4
78,1,3,9,5,10,1,9,5,3,9,8
79,2,1,7,1,4,7,6,4,5,9,8
80,10,7,7,5,2,7,7,7,10,3,6
81,4,8,5,1,10,4,4,6,9,7,3
82,8,7,3,1,5,8,2,6,2,4,8
83,6,7,2,5,8,1,8,6,8,1,7
84,6,8,5,2,9,1,3,5,4,7,1
85,7,3,6,9,5,1,8,1,8,8,7
86,7,8,2,1,2,4,4,6,10,5,6
87,1,8,4,1,10,10,2,3,2,1,8
88,2,1,7,9,5,7,7,4,6,2,7
89,8,9,8,4,10,5,1,1,1,9,7
90,7,3,5,6,1,10,8,8,9,9,8
91,4,10,1,10,7,1,1,9,10,8,8
92,7,6,4,10,2,2,4,7,2,4,7
93,4,7,7,6,7,6,8,5,10,2,1
94,9,2,7,4,6,2,9,2,10,9,7
95,10,8,5,9,3,2,5,1,6,4,4
96,3,1,8,5,7,4,4,8,5,7,6
97,5,8,4,3,6,9,3,4,9,7,3
98,1,7,4,1,3,3,9,4,9,7,4
99,10,5,8,7,5,4,6,8,10,5,10
100,2,2,2,2,2,3,2,10,2,9,4
101,4,5,10,4,7,8,10,9,3,10,4
102,7,1,4,10,1,1,10,3,3,2,8
103,9,5,3,4,1,5,6,1,1,9,9
104,3,1,9,3,4,10,10,1,8,4,10
105,3,8,2,6,9,7,2,9,6,8,9
106,8,3,8,10,2,3,10,4,7,1,6
107,4,6,9,10,5,10,10,6,8,9,2
108,5,6,7,7,3,8,9,3,1,9,9
109,10,8,4,3,6,9,2,6,7,4,9
110,6,6,10,4,4,7,4,10,2,6,5
111,6,8,5,6,7,9,6,2,10,7,1
112,4,8,5,1,3,8,9,6,2,4,1
113,7,7,6,4,4,9,3,4,3,7,3
114,10,5,5,10,4,5,5,3,6,4,4
115,2,5,6,4,8,1,5,8,2,7,6
116,10,2,3,6,10,6,6,5,1,6,8
117,7,8,3,6,1,2,2,5,6,6,9
118,7,2,6,3,10,3,5,2,3,4,10
119,5,5,4,2,2,1,10,1,6,9,9
120,6,2,6,6,6,6,4,10,10,6,2
121,2,9,4,7,6,7,1,1,2,8,4
122,3,8,8,6,8,1,3,10,5,5,4
123,5,7,10,6,6,6,3,6,3,8,4
124,10,2,1,1,8,10,6,3,8,2,6
125,6,6,5,5,1,7,8,7,5,3,6
126,10,5,4,8,10,4,10,3,1,4,1
127,4,6,3,3,8,9,6,2,8,7,3
128,3,8,7,10,1,8,1,8,8,1,7
129,7,10,4,6,2,9,5,8,6,4,8
130,2,8,3,8,7,10,2,1,9,3,3
131,8,1,7,6,10,4,1,7,6,2,8
132,1,5,1,1,10,8,8,3,10,3,4
133,10,2,2,3,9,9,9,3,9,7,7
134,4,4,3,1,4,3,5,4,7,7,10
135,4,5,1,5,6,6,2,4,2,2,8
136,6,1,3,2,1,2,7,2,3,10,6
137,7,9,6,1,1,9,3,3,1,1,10
138,6,5,9,8,3,2,7,7,10,10,7
139,6,9,2,6,1,8,10,7,1,4,5
140,5,2,2,10,7,10,7,5,2,6,10
141,1,2,9,10,7,4,10,1,4,6,4
142,5,4,6,1,9,8,7,8,2,10,7
143,10,3,1,2,4,8,4,7,1,2,10
144,3,1,1,8,4,4,6,9,9,1,6
145,1,8,1,5,7,6,6,4,9,1,4
146,3,8,7,6,6,10,7,7,3,8,6
147,2,7,3,9,7,9,9,2,9,1,4
148,2,7,4,8,5,5,2,6,4,1,10
149,8,8,4,6,3,4,4,5,2,3,10
150,9,4,1,7,4,10,9,10,1,2,2
151,9,7,9,6,9,9,10,3,8,1,10
152,3,7,6,6,9,3,2,7,10,1,10
153,5,5,5,5,5,10,5,10,5,10,4
154,8,9,8,8,6,6,8,10,8,2,1
155,4,2,9,3,6,8,8,5,3,1,8
156,2,5,2,5,7,3,8,6,5,2,7
157,4,4,2,1,10,8,5,3,5,5,7
158,5,2,5,3,5,3,6,5,1,8,2
159,9,4,2,2,1,6,1,5,6,10,10
160,8,9,6,4,3,6,8,8,1,6,6
161,8,10,7,5,5,3,1,5,1,5,9
162,1,5,1,8,9,3,9,9,10,10,7
163,8,5,2,4,5,4,6,5,3,9,5
164,10,10,1,9,3,7,7,2,2,1,2
165,2,8,5,5,4,6,7,5,5,1,3
166,1,5,9,1,2,1,2,3,3,5,10
167,8,3,6,1,8,9,4,6,4,9,6
168,7,7,3,4,1,10,4,8,2,10,3
169,8,4,1,10,1,3,8,1,1,8,10
170,5,8,8,4,5,6,4,4,3,8,3
171,9,7,6,6,4,8,6,6,2,7,4
172,8,4,6,8,8,10,4,9,2,9,3
173,9,8,8,7,5,3,10,5,3,6,5
174,3,9,5,2,8,9,5,2,7,7,8
175,3,7,8,7,9,1,9,2,4,1,8
176,10,8,4,2,6,1,10,4,5,2,2
177,2,1,5,6,4,3,4,1,9,10,5
178,3,6,2,9,7,7,3,5,10,3,10
179,5,2,8,10,10,4,10,5,8,7,6
180,5,4,10,4,1,2,5,8,8,1,3
181,9,7,7,5,5,2,5,5,10,1,6
182,5,4,5,4,7,4,5,4,6,6,3
183,6,3,3,4,3,1,9,2,9,3,5
184,10,8,8,8,3,3,8,1,4,10,5
185,3,8,8,8,8,2,4,1,6,9,9
186,5,7,2,4,5,6,10,3,10,1,6
187,8,6,6,2,10,6,9,3,9,7,1
188,4,7,9,1,4,4,4,4,2,6,3
189,1,9,1,6,5,7,8,9,5,3,2
190,2,9,9,1,5,2,1,9,4,8,2
191,6,3,8,2,8,7,2,3,7,2,10
192,6,10,4,7,6,8,1,2,10,5,5
193,8,8,3,7,3,3,1,10,9,7,4
194,4,6,10,7,2,5,4,10,7,4,3
195,4,6,5,1,4,2,2,3,10,9,10
196,9,3,4,10,7,1,9,6,3,3,3
197,5,4,6,10,3,7,7,1,10,4,5
198,9,8,10,5,10,5,7,9,3,7,4
199,9,9,10,2,10,3,4,2,7,8,1
200,6,10,7,3,3,5,2,1,4,6,1
201,6,10,1,4,5,6,1,6,3,1,10
202,1,8,6,10,6,10,10,6,3,10,6
203,5,1,6,10,6,8,1,5,7,3,9
204,2,8,4,2,9,6,10,9,1,2,1
205,7,1,4,1,7,7,8,3,1,6,10
206,4,6,6,4,3,8,5,9,5,10,3
207,3,1,6,3,6,1,2,2,7,7,7
208,3,5,1,2,7,9,2,5,4,2,6
209,10,9,5,9,6,6,6,7,9,9,4
210,10,6,6,7,5,7,5,6,7,6,6
211,5,6,4,4,4,10,8,10,8,9,4
212,10,4,9,10,3,4,1,9,8,1,9
213,5,8,5,8,3,6,9,2,3,3,6
214,9,1,10,1,1,8,3,6,7,1,9
215,9,3,9,1,2,5,6,3,4,3,7
216,3,4,2,5,1,3,4,4,9,4,4
217,5,3,2,8,3,4,6,1,9,6,2
218,6,3,3,4,7,7,2,9,8,6,1
219,1,7,5,7,6,1,10,10,2,10,7
220,7,9,2,2,10,7,10,10,3,10,2
221,10,7,8,9,8,8,7,8,7,7,8
222,2,4,2,5,9,2,7,6,7,6,1
223,5,7,10,9,2,8,1,5,4,4,9
224,7,10,10,4,5,8,9,3,6,4,9
225,1,6,10,3,5,1,7,8,6,2,5
226,10,6,1,7,5,5,1,10,3,5,5
227,8,9,1,6,10,8,3,8,5,5,10
228,8,3,5,4,10,4,2,2,1,7,9
229,6,6,2,2,10,1,4,6,6,3,5
230,10,7,2,7,8,1,7,5,5,8,3
231,8,5,4,5,5,7,9,9,3,3,2
232,10,9,7,3,3,10,1,8,6,8,3
233,10,2,10,5,6,9,1,7,8,4,2
234,3,10,8,7,10,2,5,10,4,6,5
235,6,7,2,1,3,2,9,8,8,10,10
236,5,6,6,10,9,4,4,10,2,8,10
237,10,2,9,9,10,5,2,3,7,4,3
238,9,2,7,9,2,9,2,8,10,6,9
239,2,8,10,7,4,5,10,7,2,6,5
240,6,2,7,10,9,6,6,3,9,9,4
241,6,4,2,10,2,6,6,8,6,5,1
242,7,2,10,10,9,2,1,5,1,8,3
243,3,10,6,5,10,1,9,5,8,7,6
244,3,4,10,1,4,4,4,4,4,5,4
245,5,9,10,4,1,8,2,10,3,4,7
246,4,2,2,7,3,7,9,4,3,7,4
247,3,2,10,10,10,7,1,5,10,3,2
248,2,8,7,2,8,2,6,7,3,10,1
249,2,1,8,9,7,9,5,10,6,2,6
250,3,9,7,6,10,1,6,7,1,7,6
251,2,1,9,9,5,4,6,7,8,5,10
252,7,9,4,5,2,4,6,2,6,1,3
253,7,6,1,4,10,1,7,8,5,1,4
254,10,10,9,1,4,6,1,9,8,9,4
255,6,3,10,8,1,2,2,1,3,7,8
256,1,8,8,2,6,2,3,8,4,3,2
257,4,5,3,3,6,10,6,7,8,4,2
258,6,10,3,3,6,2,6,4,4,3,3
259,8,1,6,8,9,4,4,1,8,8,3
260,2,8,5,5,5,6,1,5,9,2,2
261,6,5,5,8,6,4,3,2,8,10,10
262,10,7,9,10,2,1,6,8,5,3,1
263,5,2,6,10,5,4,3,5,4,2,6
264,10,7,1,2,9,2,8,7,1,7,1
265,10,2,9,5,8,2,9,1,3,2,1
266,10,5,9,10,5,3,4,4,9,8,8
267,10,4,2,2,8,8,6,3,9,6,10
268,8,2,4,4,1,10,7,8,4,1,3
269,6,7,3,10,7,6,6,3,4,9,4
270,6,5,8,7,9,5,9,6,1,9,8
271,10,3,7,6,1,5,7,2,8,7,3
272,5,2,3,4,6,10,3,8,10,6,6
273,10,6,8,5,1,6,8,3,10,1,8
274,2,9,1,6,3,1,5,2,2,1,1
275,4,1,4,7,4,4,9,4,3,3,9
276,4,2,1,1,1,5,5,7,6,1,8
277,4,9,3,1,5,3,2,8,10,10,9
278,3,7,3,1,1,9,6,4,1,1,4
279,5,5,10,2,2,5,9,4,6,9,10
280,10,8,4,3,8,4,5,1,9,4,10
281,5,5,8,6,9,8,10,1,6,8,9
282,4,2,8,1,7,7,7,3,8,8,7
283,1,4,8,6,9,2,4,7,7,1,10
284,9,8,4,1,10,8,7,9,6,10,6
285,8,3,4,9,2,5,7,4,9,7,2
286,6,1,4,7,4,2,9,4,5,6,9
287,1,8,7,3,7,10,4,5,1,6,10
288,2,10,9,7,5,4,6,6,2,6,7
289,2,10,1,3,5,7,7,10,5,1,5
290,4,10,10,4,4,6,8,8,7,8,4
291,3,7,4,8,1,6,3,2,7,6,6
292,3,3,8,5,3,9,8,4,3,4,4
293,6,5,10,5,1,3,10,5,6,7,4
294,7,8,8,3,5,9,1,6,10,1,1
295,8,4,7,10,9,4,10,7,2,7,10
296,4,8,1,8,6,5,8,1,4,4,7
297,1,6,8,8,10,3,10,9,6,6,1
298,4,2,4,7,8,5,9,1,1,6,4
299,5,2,2,2,5,9,7,3,8,6,10
300,3,10,8,5,1,6,5,7,7,6,10
301,10,8,6,9,10,3,9,8,3,10,2
302,7,6,8,9,1,4,7,6,7,4,10
303,9,9,2,4,3,10,4,1,6,2,7
304,7,7,3,10,2,1,6,7,2,3,8
305,9,7,6,7,3,2,8,4,1,3,9
306,2,6,7,4,1,5,6,9,3,5,5
307,2,5,1,8,1,2,9,8,1,3,8
308,10,2,9,7,5,1,5,3,2,7,4
309,5,5,4,1,9,3,2,6,6,8,8
310,7,5,6,4,4,4,6,7,2,9,6
311,3,9,10,1,9,2,1,7,5,1,4
312,5,1,9,8,7,2,7,7,8,4,5
313,2,9,5,3,3,1,9,7,10,9,5
314,2,4,9,1,6,8,6,9,4,3,3
315,10,6,5,10,1,4,10,4,9,10,4
316,5,7,8,3,9,1,8,2,7,5,4
317,9,7,6,5,4,2,9,2,5,4,6
318,10,2,8,9,9,4,9,4,3,10,3
319,8,6,5,1,2,7,3,5,6,1,9
320,7,1,6,7,1,4,3,8,8,5,9
321,2,8,3,9,5,2,1,5,1,3,8
322,7,10,10,1,9,7,4,6,2,4,8
323,2,8,8,2,3,1,1,7,5,2,5
324,2,8,4,2,1,5,9,9,6,3,3
325,10,1,8,2,4,3,5,9,6,5,7
326,10,3,9,6,7,4,5,10,4,4,7
327,7,9,5,6,10,4,9,7,10,9,10
328,7,10,5,2,4,10,1,2,9,2,10
329,8,3,1,3,1,9,5,7,9,9,7
330,10,5,8,2,10,7,10,3,7,1,5
331,6,1,10,8,5,3,10,1,4,7,7
332,2,10,7,4,10,8,7,8,8,10,4
333,3,1,1,2,6,7,6,6,3,8,3
334,10,3,5,6,8,8,1,6,1,8,6
335,6,4,3,2,10,2,10,9,4,3,2
336,2,10,6,5,10,5,10,10,5,2,5
337,8,7,4,9,10,1,5,10,6,2,5
338,3,4,10,5,2,7,3,4,3,7,3
339,9,3,8,3,7,6,4,9,4,9,6
340,8,10,4,1,3,3,8,8,6,4,9
341,1,10,8,8,5,7,10,4,2,8,4
342,1,9,10,7,8,5,7,2,3,5,3
343,7,1,3,10,2,10,3,8,4,3,7
344,9,2,6,6,3,1,8,5,10,10,9
345,5,4,5,4,5,2,1,6,8,1,1
346,9,4,10,4,10,4,6,9,2,4,7
347,3,4,3,8,5,6,4,7,1,1,9
348,6,2,1,8,2,5,6,1,1,10,5
349,9,3,5,9,1,9,2,10,2,8,9
350,10,7,4,9,9,3,7,7,1,2,2
351,5,8,3,5,3,10,10,9,6,9,2
352,8,10,5,3,7,10,2,3,6,3,3
353,1,4,7,7,9,6,5,5,6,10,8
354,2,8,9,1,4,2,4,2,9,10,8
355,5,1,9,5,7,4,7,3,5,7,6
356,6,8,10,2,6,8,10,9,2,5,5
357,9,7,5,10,7,10,2,8,6,2,1
358,5,2,7,6,1,9,2,8,4,8,1
359,6,6,10,7,3,7,10,5,7,10,5
360,5,8,6,7,10,3,9,7,8,8,1
361,5,2,10,3,9,6,5,7,7,4,1
362,5,6,5,5,5,4,1,9,8,4,7
363,2,6,5,5,2,2,5,6,9,4,6
364,4,9,7,3,5,8,3,4,10,9,4
365,2,8,6,4,3,6,2,2,8,10,1
366,10,9,6,8,1,10,1,7,5,9,1
367,8,6,10,8,3,5,7,10,8,8,8
368,3,6,9,10,3,1,4,2,5,3,10
369,9,1,10,5,8,1,2,4,2,5,7
370,2,3,7,7,1,3,10,9,3,1,1
371,9,3,3,1,6,4,7,4,6,2,4
372,2,6,9,1,9,4,4,3,5,2,2
373,9,9,5,6,4,2,9,8,2,7,9
374,4,9,3,1,2,8,7,1,1,8,2
375,10,5,7,7,1,7,3,1,9,2,8
376,6,6,5,1,5,10,7,3,3,6,6
377,10,10,1,2,7,10,7,10,3,2,3
378,2,1,7,2,3,8,9,1,8,4,10
379,9,6,9,8,3,6,4,8,2,1,6
380,7,10,1,1,3,8,1,1,5,6,10
381,10,9,10,3,6,10,9,7,10,2,2
382,6,6,4,10,3,6,10,2,4,8,2
383,6,5,10,5,10,2,6,9,9,9,2
384,4,2,9,8,3,8,5,10,8,8,2
385,3,1,6,1,7,6,3,10,9,3,2
386,5,7,7,7,8,10,7,9,6,10,1
387,1,1,6,4,9,2,4,8,5,6,4
388,5,7,6,8,7,1,5,1,5,9,5
389,2,1,5,8,8,5,8,5,6,5,8
390,8,7,6,2,10,8,1,9,4,10,5
391,7,10,4,8,5,2,9,10,8,7,10
392,4,3,8,9,9,5,10,1,5,3,7
393,2,6,2,8,5,4,6,9,8,1,4
394,10,9,6,4,2,2,3,6,7,1,4
395,2,10,7,7,3,2,9,9,8,4,9
396,2,1,8,7,6,9,4,5,1,4,5
397,10,10,3,2,5,10,5,1,1,1,6
398,8,5,4,4,7,10,4,9,2,5,8
399,8,1,5,3,4,10,10,7,5,7,4
400,5,10,8,5,3,3,9,5,6,6,6
401,5,2,1,9,5,7,5,3,9,5,5
402,2,3,9,3,3,9,1,8,7,10,8
403,10,3,5,2,10,8,3,6,9,2,4
404,9,7,4,2,1,2,2,9,6,2,7
405,4,10,2,5,3,2,4,1,3,4,6
406,8,7,6,4,2,10,10,4,4,7,9
407,2,1,2,4,6,2,7,4,2,4,4
408,3,4,7,8,5,10,9,2,7,7,8
409,7,8,6,9,10,2,6,6,9,9,5
410,8,2,8,9,4,8,10,1,8,3,1
411,7,7,5,10,2,1,4,5,1,5,4
412,9,5,6,6,8,1,4,8,7,5,10
413,2,10,3,5,4,4,2,9,2,5,8
414,7,2,2,1,10,1,5,6,4,6,5
415,9,5,7,7,10,7,6,6,7,8,10
416,1,10,5,5,1,2,7,6,7,8,4
417,8,8,3,6,2,3,4,8,5,7,7
418,7,8,3,6,2,10,6,9,4,9,2
419,4,4,5,3,9,9,6,1,7,3,8
420,7,1,3,4,3,9,1,8,3,10,5
421,2,6,2,1,6,9,2,3,6,3,5
422,8,7,1,10,6,10,6,8,8,3,1
423,7,9,8,6,5,7,8,10,6,9,3
424,10,9,5,4,2,9,3,7,9,1,9
425,3,7,5,8,10,4,9,1,9,4,4
426,2,2,1,6,6,4,4,10,7,1,6
427,8,8,6,6,5,9,1,10,7,6,3
428,6,3,5,7,5,7,9,7,3,6,7
429,10,7,5,1,9,9,6,7,6,9,8
430,2,8,5,5,10,5,5,10,9,9,4
431,4,7,7,2,5,3,8,6,5,9,3
432,4,4,8,7,6,10,5,8,4,1,5
433,10,3,1,6,8,1,10,1,1,4,5
434,3,10,2,2,7,1,1,4,3,9,4
435,8,10,6,8,1,7,6,7,9,9,4
436,6,9,6,5,1,3,8,7,6,5,8
437,4,4,2,10,3,6,5,1,3,7,5
438,9,2,10,5,1,2,2,9,5,6,2
439,2,7,8,1,7,9,8,5,1,5,2
440,4,9,8,4,9,9,2,4,3,3,6
441,9,2,4,7,4,1,4,10,9,8,2
442,4,10,5,7,1,8,10,5,5,5,10
443,1,9,1,8,9,5,6,4,7,2,3
444,3,5,9,8,5,3,3,5,8,1,7
445,5,4,7,4,3,3,3,1,3,3,5
446,8,1,6,7,8,4,1,10,1,1,2
447,2,3,4,3,3,9,9,7,5,7,9
448,10,1,1,7,7,10,7,5,2,3,3
449,4,8,9,3,3,3,6,9,5,6,3
450,2,9,1,1,7,4,7,4,2,10,5
451,5,8,4,8,10,7,3,8,6,10,5
452,5,10,2,6,4,6,3,8,2,2,4
453,4,9,6,1,10,3,2,3,9,7,1
454,9,9,4,1,7,4,6,10,3,7,6
455,2,2,8,5,7,9,3,3,6,2,8
456,8,4,7,9,10,6,1,5,2,4,8
457,4,8,7,10,10,4,4,9,5,10,8
458,2,4,7,8,5,5,2,1,6,10,8
459,5,7,3,1,9,6,4,1,10,10,3
460,8,10,7,5,2,9,6,3,1,1,10
461,6,10,9,7,9,9,7,1,10,9,5
462,3,1,7,4,7,5,6,5,2,4,2
463,5,1,3,7,7,5,10,1,7,6,8
464,3,2,5,4,4,9,3,9,2,4,4
465,3,10,6,3,8,5,10,4,1,8,10
466,2,2,1,8,5,3,10,4,10,2,9
467,9,2,7,5,3,7,1,7,10,3,4
468,3,5,6,5,2,6,3,10,9,4,2
469,4,1,9,6,4,10,1,4,5,8,10
470,2,2,8,8,3,7,4,8,4,5,2
471,10,8,4,6,7,7,7,2,4,4,3
472,8,5,2,5,3,2,2,10,6,3,6
473,8,9,6,10,1,3,2,3,9,6,6
474,1,9,1,1,10,2,4,10,3,4,5
475,3,6,6,4,2,7,6,1,2,4,3
476,8,6,1,9,3,5,10,4,1,2,9
477,9,5,1,9,7,9,10,4,2,8,9
478,5,8,9,8,6,7,5,2,5,1,9
479,10,1,2,10,7,4,10,9,10,2,5
480,2,9,3,1,8,3,10,6,8,5,3
481,7,4,1,3,3,8,8,7,6,8,5
482,9,10,10,6,10,9,6,9,4,8,8
483,8,4,1,9,1,1,6,8,9,4,6
484,7,7,3,7,9,10,4,7,7,3,1
485,3,6,4,3,5,2,3,6,9,4,9
486,2,9,5,2,10,7,3,4,7,9,2
487,8,9,4,1,3,3,9,4,3,2,6
488,4,5,8,6,8,8,3,5,9,4,9
489,4,6,3,4,1,6,2,8,3,3,5
490,8,10,1,10,8,2,3,10,10,2,5
491,8,4,4,6,3,4,2,9,7,9,3
492,7,9,3,1,3,1,9,4,3,4,4
493,7,7,8,3,3,9,2,10,8,10,9
494,5,7,10,10,10,6,9,1,5,7,7
495,1,5,5,1,1,6,10,8,5,4,9
496,5,2,9,5,6,9,5,6,9,7,2
497,4,3,5,10,10,2,8,2,1,2,6
498,7,10,3,9,8,5,6,9,3,2,7
499,9,10,3,2,8,8,9,6,5,6,2
500,7,3,8,10,8,7,9,10,3,9,10
501,9,1,6,4,1,3,9,6,9,10,2
502,3,4,7,4,1,10,8,10,7,7,9
503,1,5,5,10,8,4,5,9,4,1,6
504,6,1,6,5,3,1,10,8,10,8,8
505,1,3,7,7,4,7,4,6,5,1,3
506,3,9,7,4,2,3,7,6,10,4,2
507,6,4,2,10,7,4,2,1,2,6,8
508,8,6,9,4,1,7,3,4,6,6,10
509,1,10,6,6,7,5,4,10,5,8,8
510,6,1,10,4,9,4,10,4,6,4,3
511,9,2,8,9,4,2,1,1,5,7,4
512,7,4,10,6,7,4,2,6,5,9,5
513,8,9,2,10,8,2,7,9,3,2,8
514,8,5,5,10,6,2,4,5,4,1,6
515,1,9,8,9,8,7,1,4,2,1,2
516,10,3,7,5,9,10,5,9,1,7,5
517,8,10,9,10,5,2,5,9,4,7,2
518,4,8,7,8,4,9,5,9,1,8,1
519,4,4,10,10,3,5,4,1,7,2,10
520,9,1,7,8,4,7,2,9,6,5,3
521,5,10,4,6,9,4,5,10,1,6,9
522,9,4,8,6,9,3,7,2,9,6,5
523,7,4,2,10,6,1,2,5,4,6,3
524,9,7,1,6,7,8,4,5,1,4,8
525,10,8,4,8,1,8,6,5,6,2,5
526,6,7,4,1,3,9,9,4,6,10,1
527,6,5,8,5,2,4,4,10,4,2,1
528,7,8,6,8,4,9,4,7,4,6,4
529,9,2,10,7,6,10,4,2,6,8,10
530,9,7,9,4,1,10,7,5,5,6,4
531,7,10,5,7,8,8,2,3,1,5,8
532,10,3,2,7,1,2,10,10,10,9,4
533,1,1,1,8,9,2,1,1,2,7,10
534,9,6,7,10,7,10,1,4,10,3,5
535,9,9,7,10,4,7,8,9,8,3,3
536,10,2,5,5,1,5,7,9,9,9,10
537,9,3,9,5,4,4,1,1,1,4,8
538,3,9,1,8,3,2,10,7,1,2,9
539,4,1,5,1,6,8,8,8,3,10,6
540,4,9,5,1,7,10,2,1,7,9,10
541,8,2,6,2,5,7,6,1,4,10,1
542,3,4,4,8,9,5,7,3,10,2,3
543,7,8,9,10,9,8,9,1,8,1,10
544,3,8,9,5,8,5,2,3,5,6,1
545,1,6,6,6,4,9,10,1,7,1,5
546,9,4,10,3,6,1,5,1,8,9,9
547,7,8,10,9,7,4,6,4,3,5,10
548,1,1,2,7,5,5,3,5,5,3,8
549,4,5,6,3,8,6,1,6,4,4,9
550,8,10,8,3,9,5,4,2,5,4,8
551,3,4,7,1,10,10,9,9,4,2,9
552,7,7,2,5,7,2,8,6,2,5,8
553,4,10,7,4,4,7,3,8,6,7,4
554,6,7,8,10,1,4,6,6,4,8,1
555,10,1,5,1,5,2,8,7,3,1,6
556,9,2,10,8,1,1,4,3,8,5,5
557,4,1,1,1,10,4,2,8,8,10,1
558,10,10,7,4,3,1,6,9,7,5,5
559,10,1,1,10,9,7,9,7,1,8,10
560,7,4,1,8,4,7,5,3,1,2,4
561,1,5,10,4,5,10,1,2,1,1,6
562,9,2,2,8,3,3,4,2,3,4,8
563,8,1,7,7,5,6,4,7,8,3,10
564,8,2,2,3,10,3,5,10,6,1,9
565,7,3,1,1,3,1,9,9,4,4,9
566,3,6,6,9,1,8,6,8,5,1,1
567,4,10,5,10,1,8,8,9,7,8,6
568,6,2,1,10,4,8,7,6,4,9,9
569,4,3,1,3,4,2,8,10,6,7,10
570,5,7,3,4,2,5,10,1,5,5,5
571,10,1,3,10,3,8,4,3,6,2,9
572,1,5,1,7,4,3,9,6,5,3,2
573,9,3,3,6,4,9,4,2,6,10,8
574,9,5,7,1,9,6,6,10,6,1,7
